base_score,[557.99325876]
RevolvingUtilizationOfUnsecuredLines,score
"(-inf, 0.204]",25.570439726801784
"(0.204, 0.346]",10.648105858519358
"(0.346, 0.551]",0.6264169810805169
"(0.551, 0.844]",-12.95115275068192
"(0.844, 1.0]",-25.504912502843823
"(1.0, inf]",-44.72397452689053
NumberOfTimes90DaysLate,score
"(-inf, 0.0]",7.909486726460437
"(0.0, 1.0]",-41.2054873530715
"(1.0, 2.0]",-56.347937639325046
"(2.0, inf]",-66.88571076026624
NumberRealEstateLoansOrLines,score
"(-inf, 0.0]",-4.5910286495710775
"(0.0, 1.0]",4.972843185001909
"(1.0, 2.0]",3.592534919889017
"(2.0, 4.0]",-1.8384638793255723
"(4.0, inf]",-18.423041318583834
NumberOfDependents,score
"(-inf, 0.0]",1.5919352962276843
"(0.0, 1.0]",-1.2609384310548468
"(1.0, 2.0]",-2.0919165846323713
"(2.0, inf]",-3.5496822743812992
age,score
"(-inf, 36.0]",-6.908194242506356
"(36.0, 52.0]",-2.8844111583805994
"(52.0, 61.0]",2.0482061661516937
"(61.0, 65.0]",8.005682534726413
"(65.0, inf]",12.840760219508235
DebtRatio,score
"(-inf, 0.415]",3.699867177059163
"(0.415, 0.658]",-5.880933900915694
"(0.658, 5.0]",-14.593238459613017
"(5.0, inf]",5.246202328708849
MonthlyIncome,score
"(-inf, 0.17]",7.880774906376096
"(0.17, 6649.0]",-2.2451394713199946
"(6649.0, inf]",3.4786717606885666
NumberOfOpenCreditLinesAndLoans,score
"(-inf, 2.0]",5.359110385557759
"(2.0, 3.0]",1.1525871962462069
"(3.0, 5.0]",-0.2680394953792781
"(5.0, 13.0]",-1.3761015433904036
"(13.0, inf]",0.4190808431143949
