,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfDependents
0,0,0.002729192,78,0,0.007122507,3509.0,13,0,1,0.0
1,0,0.010855507,51,0,0.232151226,6400.0,9,0,1,3.0
2,0,0.05002405,55,0,0.08854364,7916.0,6,0,0,0.0
3,0,0.913163336,33,0,0.012377023,3150.0,3,1,0,1.0
4,0,0.026510213,82,0,0.000666223,1500.0,5,0,0,0.0
5,0,0.000297718,60,0,1080.0,0.22,9,0,2,0.0
6,0,0.9999999,24,0,0.0,1209.0288228201532,1,0,0,0.0
7,0,0.010865942,30,0,0.007649809,40000.0,5,0,0,0.0
8,0,0.443555644,40,0,2677.0,0.1,8,0,1,0.0
9,0,0.0,36,1,0.0,2500.0,3,0,0,2.0
10,0,0.986019805,50,1,1483.0,0.32,3,1,1,0.0
11,0,0.027588261,68,0,0.008822164,6460.0,7,0,0,0.0
12,0,0.001359589,47,0,1726.0,0.28,10,0,1,2.0
13,0,0.507292315,80,0,815.0,0.39,4,0,0,0.0
14,0,0.030614915,80,0,0.020791683,2500.0,9,0,0,0.0
15,0,0.304263981,62,1,0.357581227,5539.0,7,0,0,0.0
16,0,0.293551956,50,0,0.381921479,11792.0,8,0,1,0.0
17,0,0.132027769,80,0,0.279524707,6900.0,22,0,1,2.0
18,0,0.051617132,68,0,122.0,0.07,9,0,0,0.0
19,0,0.145755143,51,0,1692.0,0.27,7,0,2,2.0
20,0,0.186654223,44,0,0.013289457,7900.0,4,0,0,2.0
21,0,0.000461503,70,0,0.114923747,1835.0,6,0,1,0.0
22,0,0.0,55,0,0.474495639,11350.0,3,0,1,1.0
23,0,0.271072587,65,0,0.38559629,6900.0,8,0,1,0.0
24,0,0.011506031,76,0,27.0,0.0,4,0,0,0.0
25,0,0.024680776,50,0,0.165817392,11970.0,8,0,1,0.0
26,0,0.002549767,65,0,924.0,0.22,7,0,1,0.0
27,0,0.00117645,74,0,2.580645161,650.0,7,0,1,0.0
28,0,0.276308857,73,0,0.911504425,8700.0,14,0,7,1.0
29,0,0.414088541,39,2,0.252556624,13200.0,10,0,2,1.0
30,0,0.007599855,50,0,0.16413648,6652.0,4,0,1,0.0
31,0,0.010866738,36,0,1806.0,0.06,9,0,1,0.0
32,1,0.573883162,58,2,0.471960989,2870.0,6,4,1,0.0
33,0,0.328853692,48,0,0.358237548,4697.0,5,0,1,4.0
34,0,0.138809964,36,0,0.31503363,5500.0,7,0,1,2.0
35,0,0.382587465,50,0,739.0,0.32,7,0,0,1.0
36,0,0.002689593,56,0,584.0,0.17,19,0,0,0.0
37,0,0.389055886,33,0,0.493835388,3000.0,10,0,1,2.0
38,0,0.9999999,38,0,253.0,0.46,2,1,0,1.0
39,0,0.0319984,33,0,19.0,2.15,1,0,0,0.0
40,0,0.013416294,56,0,0.225384505,6956.0,6,0,2,2.0
41,0,0.065034249,81,0,736.0,0.18,6,0,1,0.0
42,0,0.46454502,60,0,2037.0,0.4,9,0,2,0.0
43,0,0.736454756,51,1,0.289342132,5000.0,3,0,0,0.0
44,1,0.155414833,47,0,0.320244328,4583.0,7,0,2,0.0
45,0,0.0,64,0,0.207158568,5000.0,7,0,0,0.0
46,0,0.0,28,5,0.250583139,3000.0,8,0,0,0.0
47,0,0.014451426,51,0,0.14010616,8100.0,10,0,1,0.0
48,0,0.041986507,60,0,0.019476304,4620.0,10,0,0,0.0
49,0,0.420472237,39,0,0.182050686,4300.0,9,0,1,3.0
50,1,0.851913478,49,1,826.0,4.06,4,3,0,0.0
51,0,0.947985348,37,3,0.243918694,3000.0,5,0,0,2.0
52,0,0.004892667,60,0,0.110651499,2900.0,5,0,1,0.0
53,0,0.17176928,30,0,0.385802469,2915.0,4,0,1,0.0
54,1,0.57973267,32,1,2136.0,0.33,10,0,2,0.0
55,0,0.007343521,91,0,6.0,1933.48,7,0,0,0.0
56,0,0.9999999,32,0,708.0,0.02,3,0,0,0.0
57,0,0.018673668,43,0,2536.0,0.07,15,0,1,0.0
58,0,0.0,27,0,0.0,1000.0,2,0,0,0.0
59,0,0.103198857,47,1,0.244862488,9780.0,11,0,2,1.0
60,0,0.968687542,44,0,0.051299134,1500.0,3,0,0,0.0
61,0,0.05559861,75,0,81.0,0.09,3,0,0,0.0
62,0,0.082867545,93,0,0.028379432,16666.0,3,0,0,0.0
63,0,0.004539424,56,0,0.261373863,10000.0,9,0,2,0.0
64,0,0.660087148,52,0,0.23640134,6268.0,8,0,0,3.0
65,0,0.157340102,69,0,0.19460881,12167.0,8,0,3,0.0
66,0,0.566900919,40,0,0.564562826,5180.0,7,0,2,0.0
67,0,0.234955894,32,0,197.0,0.11,4,0,0,0.0
68,0,0.246476772,47,0,0.4705513,7962.0,10,0,1,1.0
69,0,0.805707937,46,0,0.248669569,6200.0,18,0,0,3.0
70,0,0.018756875,62,0,0.019490255,2000.0,3,0,0,0.0
71,0,0.024861212,74,1,0.375059495,2100.0,7,0,0,0.0
72,0,0.025233463,56,0,236.0,2.89,18,0,1,0.0
73,0,0.107233984,80,0,0.271529889,2960.0,8,0,1,0.0
74,0,0.008145158,37,0,0.715688057,5500.0,10,0,2,1.0
75,0,0.884296045,58,0,0.268921359,6090.0,15,0,0,0.0
76,0,0.0,33,0,0.37569429,4500.0,7,0,1,4.0
77,0,0.357848562,45,0,0.44524438,12500.0,12,0,2,1.0
78,1,0.60205306,77,3,1.062877872,2480.0,7,0,2,0.0
79,0,0.011831931,60,0,2696.0,0.04,15,0,2,0.0
80,0,0.259123902,47,0,0.148318813,41666.0,6,0,3,5.0
81,0,0.041351829,45,0,77.0,0.09,7,0,0,0.0
82,0,0.020875045,60,0,0.005587907,17000.0,9,0,0,1.0
83,1,0.448305821,38,1,29.0,5138.66,4,2,0,0.0
84,0,0.058365169,61,0,0.01772347,9083.0,11,0,0,0.0
85,0,0.017992142,55,0,2018.0,0.09,11,0,1,0.0
86,0,0.203798288,53,0,0.131096545,9000.0,7,0,1,0.0
87,0,0.357221725,38,0,0.613483788,7000.0,7,0,1,3.0
88,0,0.9999999,42,2,0.447857855,6021.0,3,1,1,2.0
89,0,0.0,83,0,0.0,52877.57888888889,4,0,0,0.0
90,0,0.034131401,87,1,0.006380345,10500.0,17,0,0,0.0
91,0,0.104243104,64,0,0.622738002,5083.0,6,0,2,1.0
92,0,0.24857871,70,0,0.354778555,2144.0,8,0,1,0.0
93,0,0.00970585,52,0,0.285951022,5430.0,9,0,1,0.0
94,0,0.024305823,40,0,0.310708553,4360.0,6,0,1,2.0
95,1,0.099427079,39,0,0.913090294,6500.0,18,0,2,3.0
96,0,0.9999999,35,0,100.0,0.46,1,1,0,0.0
97,0,0.011599691,66,1,0.35897792,7200.0,12,0,1,0.0
98,0,0.225546794,53,0,8013.0,0.09,14,0,4,2.0
99,0,0.011760555,51,0,1882.0,0.18,5,1,2,0.0
100,0,0.073246009,72,0,0.039648569,4438.0,12,0,0,0.0
101,0,0.079085372,53,0,72.0,0.26,2,0,0,0.0
102,0,0.122413204,66,0,0.189312299,9000.0,9,0,1,0.0
103,1,0.9999999,59,2,0.055234087,1900.0,2,3,0,0.0
104,0,0.072613523,56,0,1158.0,0.38,6,0,1,2.0
105,0,0.481832344,59,1,1388.0,0.46,8,1,1,0.0
106,1,0.944140781,30,0,0.343503419,1900.0,4,2,0,1.0
107,0,0.067870758,69,0,0.005960392,5200.0,3,0,0,0.0
108,0,0.538690886,35,0,0.502056673,4375.0,7,0,1,0.0
109,0,0.638972684,46,2,5170.0,0.0,18,0,2,4.0
110,0,0.148323445,38,0,0.092581484,5000.0,3,0,0,1.0
111,0,0.741002768,76,2,71.0,0.48,3,0,0,0.0
112,0,0.95037266,57,1,0.188182005,4856.0,11,1,0,0.0
113,0,0.447454883,40,0,1.100374844,4801.0,8,0,6,2.0
114,0,0.690140472,44,0,0.73930405,1752.0,9,1,1,3.0
115,0,0.512297326,60,0,2520.0,0.01,9,0,1,1.0
116,0,0.0,50,0,0.226154769,5000.0,4,0,2,0.0
117,0,0.083752768,40,0,0.359934557,5500.0,5,0,1,1.0
118,0,3825.0,75,0,0.031509121,3617.0,1,0,0,0.0
119,0,0.023159221,82,0,0.022236341,3147.0,3,0,0,0.0
120,0,0.486245802,55,0,0.53305724,6760.0,10,0,2,1.0
121,0,0.931503504,60,0,0.353173484,7089.0,13,0,0,1.0
122,0,0.0,38,0,0.350332594,1352.0,4,1,0,4.0
123,0,0.189967652,66,0,0.630073985,5000.0,13,0,2,0.0
124,0,0.176933841,46,0,0.842831434,1666.0,11,0,1,1.0
125,0,0.030131608,58,0,0.38001263,6333.0,16,0,4,0.0
126,0,0.111652246,37,1,0.297612438,1800.0,6,0,0,2.0
127,0,0.002555829,73,0,0.207606352,5100.0,6,0,1,0.0
128,0,0.20185321,75,0,0.34965035,1000.0,6,0,1,0.0
129,0,0.9999999,50,0,0.141167395,11666.0,2,0,1,0.0
130,0,0.253971781,39,0,0.251874813,10000.0,5,0,3,2.0
131,0,0.0,37,0,0.728607479,4358.0,15,0,1,3.0
132,0,0.014123644,43,0,0.296855117,5500.0,10,0,1,0.0
133,0,0.0,51,0,0.0,6090.0,9,0,0,0.0
134,0,0.066964435,30,0,0.429595067,6000.0,10,0,2,2.0
135,0,0.507623702,48,1,0.573571203,6333.0,15,0,2,5.0
136,0,0.161240615,38,0,0.474377135,12000.0,5,0,2,2.0
137,0,0.022901297,43,0,0.208982099,9440.0,6,0,1,1.0
138,0,0.033101134,44,0,0.302234588,11500.0,11,0,2,2.0
139,0,0.776684962,47,3,1.137135474,5417.0,20,0,4,3.0
140,1,0.0499002,31,0,0.051212271,4041.0,3,2,0,4.0
141,0,0.167093377,43,0,1.852895149,1916.0,12,0,1,0.0
142,0,0.381184494,63,0,0.294905234,5750.0,8,0,2,1.0
143,0,0.194847323,72,0,0.185073384,9606.0,21,0,2,0.0
144,0,0.102744863,70,0,0.190801533,6000.0,4,0,1,0.0
145,0,0.9999999,34,1,0.269558482,1290.0,1,0,0,1.0
146,0,0.011939289,64,0,43.0,0.24,8,0,0,0.0
147,0,0.02338652,63,0,0.566466688,9500.0,16,0,2,2.0
148,0,0.0,65,0,0.0,2166.0,2,0,0,0.0
149,0,0.909316516,35,0,0.588604418,3983.0,9,0,1,0.0
150,0,0.03519648,53,0,1364.0,0.09,3,0,1,0.0
151,0,0.183461714,50,0,0.368625708,9000.0,14,0,2,2.0
152,0,0.463826569,27,0,0.238723608,4167.0,8,0,0,0.0
153,0,0.02838915,79,0,0.07396622,5150.0,14,0,1,0.0
154,0,0.074187303,54,0,0.073275343,41500.0,13,0,0,1.0
155,0,0.646878619,52,0,4999.0,0.01,13,0,1,0.0
156,0,0.003157853,56,0,0.231339333,17000.0,13,0,3,1.0
157,0,0.068183982,32,0,0.160964666,5348.0,11,0,1,0.0
158,0,0.021525537,40,0,0.311672082,4000.0,19,0,2,2.0
159,0,0.9999999,35,0,0.0,2660.0,1,0,0,2.0
160,0,0.103940309,59,0,161.0,0.5,6,0,0,0.0
161,0,0.32896076,47,0,0.379675371,2833.0,10,0,0,0.0
162,0,0.147747324,48,0,0.006626173,5432.0,3,0,0,0.0
163,0,0.361570624,56,0,0.471149478,2200.0,5,0,3,0.0
164,0,0.017455741,56,0,0.673261885,10916.0,16,0,5,3.0
165,1,0.825995001,57,2,0.443012664,4500.0,14,0,1,0.0
166,0,0.720682303,36,1,0.126422904,5797.0,6,0,0,0.0
167,0,0.046531265,70,0,1470.0,1.0,7,0,2,1.0
168,0,0.023626359,46,0,4901.0,0.07,15,0,1,1.0
169,0,0.202409687,43,0,0.195689738,20833.0,14,0,2,1.0
170,0,0.722455509,62,3,0.192544571,3084.0,7,0,0,0.0
171,0,0.23106255,73,0,0.270052539,5709.0,5,0,1,0.0
172,0,0.008086781,64,0,0.484275586,5500.0,5,0,2,0.0
173,1,0.68813979,31,3,0.073325186,9000.0,5,0,0,0.0
174,0,0.039875696,43,0,0.414436035,10833.0,7,0,3,2.0
175,0,0.37676252,67,0,0.191309364,5200.0,7,0,0,1.0
176,0,0.0,69,0,0.00419916,5000.0,7,0,0,0.0
177,0,0.03033978,71,0,0.004096362,10252.0,6,0,0,0.0
178,0,0.153103803,50,0,0.272741457,12817.0,7,0,2,0.0
179,0,0.87210825,43,0,0.239236573,4505.0,3,0,0,0.0
180,0,7809.0,40,0,0.294559099,2131.0,21,0,0,0.0
181,0,0.036432119,45,0,712.0,0.94,5,0,1,1.0
182,0,0.045056842,46,0,0.245570952,5700.0,6,0,1,0.0
183,0,0.0,65,0,0.36468299,6166.0,10,0,2,1.0
184,0,0.0,42,0,0.890628884,4022.0,10,0,1,1.0
185,0,0.021266791,67,0,0.176145908,4166.0,7,0,1,0.0
186,0,0.001586862,58,0,0.209158168,5000.0,8,0,2,1.0
187,0,0.406427995,52,0,2.286285486,2500.0,12,0,2,2.0
